TIME,BUTTON,X,Y,Z,PRESSURE_NORMAL
120541979,1,8503,5433,0,14931
120541986,1,8503,5433,0,19012
120541994,1,8503,5433,0,19636
120542001,1,8503,5433,0,19636
120542009,1,8503,5433,0,19308
120542016,1,8503,5433,0,19060
120542024,1,8500,5433,0,19060
120542031,1,8500,5433,0,19452
120542039,1,8500,5433,0,20172
120542046,1,8500,5433,0,21068
120542054,1,8500,5433,0,21700
120542061,1,8499,5432,0,22108
120542069,1,8499,5431,0,22340
120542076,1,8499,5431,0,22412
120542084,1,8498,5430,0,22420
120542091,1,8498,5429,0,22540
120542099,1,8497,5428,0,22676
120542106,1,8495,5426,0,22828
120542114,1,8493,5424,0,22900
120542121,1,8490,5421,0,22988
120542129,1,8486,5418,0,22996
120542136,1,8482,5414,0,23060
120542144,1,8477,5409,0,23060
120542151,1,8472,5404,0,23108
120542159,1,8466,5398,0,23108
120542166,1,8460,5392,0,23108
120542174,1,8454,5386,0,23108
120542181,1,8448,5380,0,23044
120542189,1,8443,5374,0,23036
120542196,1,8437,5369,0,23028
120542204,1,8431,5363,0,23028
120542211,1,8425,5357,0,22980
120542219,1,8418,5351,0,22972
120542226,1,8409,5343,0,22932
120542234,1,8400,5334,0,22924
120542241,1,8389,5323,0,22836
120542249,1,8376,5312,0,22836
120542256,1,8363,5298,0,22828
120542264,1,8348,5284,0,22732
120542271,1,8332,5269,0,22732
120542279,1,8314,5252,0,22740
120542286,1,8296,5235,0,22740
120542294,1,8276,5217,0,22740
120542301,1,8256,5199,0,22740
120542309,1,8234,5181,0,22732
120542316,1,8213,5162,0,22660
120542324,1,8191,5145,0,22652
120542331,1,8170,5127,0,22556
120542339,1,8149,5111,0,22508
120542346,1,8129,5095,0,22508
120542354,1,8110,5080,0,22412
120542361,1,8091,5065,0,22404
120542369,1,8073,5052,0,22292
120542376,1,8055,5040,0,22140
120542384,1,8037,5029,0,22068
120542391,1,8018,5020,0,21940
120542399,1,8000,5013,0,21796
120542406,1,7981,5007,0,21484
120542414,1,7962,5002,0,21292
120542421,1,7944,4998,0,21292
120542429,1,7926,4995,0,21292
120542436,1,7908,4994,0,21292
120542444,1,7892,4993,0,21292
120542451,1,7876,4993,0,21300
120542459,1,7859,4993,0,21300
120542466,1,7841,4993,0,21308
120542474,1,7821,5002,0,21308
